,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49
C0,0.0,22.0,87.0,15.0,85.0,15.0,24.0,95.0,26.0,14.0,113.0,97.0,inf,35.0,68.0,78.0,28.0,94.0,33.0,38.0,52.0,24.0,60.0,inf,34.0,24.0,105.0,23.0,10.0,26.0,82.0,77.0,32.0,67.0,11.0,22.0,70.0,91.0,inf,59.0,41.0,68.0,55.0,inf,46.0,inf,90.0,25.0,60.0,67.0
C1,13.0,0.0,inf,53.0,86.0,36.0,75.0,102.0,29.0,92.0,25.0,74.0,91.0,35.0,97.0,17.0,99.0,35.0,32.0,19.0,inf,47.0,37.0,54.0,66.0,inf,48.0,18.0,50.0,52.0,52.0,33.0,25.0,97.0,35.0,81.0,17.0,72.0,76.0,53.0,100.0,33.0,inf,75.0,87.0,27.0,20.0,87.0,16.0,inf
C2,inf,80.0,0.0,86.0,31.0,91.0,24.0,87.0,inf,95.0,86.0,49.0,52.0,inf,46.0,30.0,97.0,78.0,82.0,92.0,35.0,34.0,33.0,91.0,inf,62.0,85.0,31.0,42.0,30.0,33.0,64.0,34.0,34.0,12.0,20.0,73.0,102.0,96.0,34.0,34.0,76.0,78.0,64.0,73.0,36.0,27.0,102.0,57.0,58.0
C3,15.0,49.0,87.0,0.0,29.0,75.0,71.0,66.0,99.0,55.0,115.0,96.0,24.0,23.0,63.0,53.0,16.0,26.0,66.0,inf,25.0,34.0,86.0,86.0,103.0,59.0,78.0,42.0,24.0,inf,85.0,35.0,80.0,102.0,36.0,88.0,63.0,106.0,19.0,37.0,55.0,77.0,76.0,43.0,66.0,25.0,41.0,69.0,93.0,71.0
C4,84.0,43.0,12.0,21.0,0.0,58.0,64.0,42.0,65.0,65.0,89.0,inf,38.0,73.0,18.0,42.0,18.0,94.0,87.0,60.0,94.0,46.0,74.0,93.0,34.0,34.0,54.0,32.0,62.0,inf,29.0,51.0,112.0,6.0,89.0,inf,70.0,44.0,55.0,48.0,88.0,44.0,93.0,48.0,57.0,35.0,51.0,94.0,116.0,42.0
C5,13.0,84.0,91.0,69.0,40.0,0.0,inf,74.0,92.0,19.0,32.0,49.0,71.0,112.0,56.0,49.0,51.0,66.0,84.0,57.0,inf,35.0,58.0,54.0,49.0,49.0,47.0,15.0,100.0,34.0,inf,35.0,64.0,20.0,82.0,30.0,83.0,17.0,33.0,81.0,30.0,66.0,98.0,90.0,71.0,74.0,94.0,88.0,94.0,25.0
C6,25.0,65.0,25.0,94.0,68.0,82.0,0.0,54.0,75.0,32.0,64.0,86.0,22.0,69.0,36.0,92.0,59.0,97.0,49.0,59.0,86.0,48.0,93.0,43.0,60.0,36.0,74.0,81.0,83.0,62.0,99.0,37.0,18.0,11.0,104.0,60.0,94.0,inf,100.0,53.0,75.0,27.0,12.0,22.0,78.0,118.0,61.0,16.0,80.0,70.0
C7,86.0,inf,82.0,76.0,53.0,inf,62.0,0.0,50.0,92.0,92.0,27.0,inf,45.0,51.0,94.0,67.0,68.0,51.0,91.0,96.0,106.0,65.0,59.0,inf,58.0,82.0,38.0,12.0,23.0,51.0,48.0,inf,34.0,48.0,73.0,56.0,52.0,26.0,98.0,88.0,93.0,87.0,inf,8.0,inf,inf,104.0,104.0,47.0
C8,32.0,16.0,24.0,106.0,52.0,82.0,73.0,42.0,0.0,34.0,40.0,inf,40.0,79.0,37.0,37.0,71.0,inf,56.0,28.0,107.0,26.0,45.0,21.0,28.0,24.0,40.0,67.0,50.0,58.0,48.0,33.0,76.0,74.0,22.0,45.0,62.0,20.0,38.0,85.0,14.0,91.0,88.0,59.0,42.0,65.0,74.0,66.0,95.0,116.0
C9,13.0,20.0,82.0,42.0,60.0,22.0,inf,87.0,26.0,0.0,98.0,55.0,28.0,78.0,13.0,inf,22.0,12.0,88.0,86.0,96.0,84.0,69.0,28.0,57.0,79.0,15.0,22.0,50.0,inf,inf,78.0,34.0,72.0,inf,31.0,28.0,87.0,52.0,42.0,52.0,77.0,inf,59.0,63.0,92.0,inf,54.0,58.0,102.0
C10,100.0,inf,50.0,107.0,94.0,37.0,74.0,47.0,31.0,98.0,0.0,69.0,87.0,43.0,53.0,85.0,19.0,85.0,13.0,74.0,73.0,52.0,90.0,98.0,47.0,74.0,47.0,43.0,88.0,96.0,77.0,51.0,52.0,63.0,92.0,44.0,57.0,52.0,59.0,38.0,64.0,45.0,65.0,82.0,92.0,30.0,34.0,70.0,13.0,inf
C11,83.0,61.0,42.0,86.0,39.0,63.0,90.0,17.0,15.0,50.0,62.0,0.0,31.0,9.0,31.0,86.0,70.0,59.0,93.0,31.0,61.0,inf,34.0,92.0,58.0,43.0,93.0,37.0,53.0,29.0,100.0,inf,98.0,104.0,21.0,42.0,25.0,inf,96.0,55.0,76.0,inf,32.0,88.0,50.0,20.0,26.0,27.0,108.0,19.0
C12,92.0,81.0,inf,30.0,36.0,58.0,inf,58.0,43.0,32.0,44.0,31.0,0.0,87.0,77.0,22.0,21.0,21.0,62.0,52.0,28.0,55.0,78.0,108.0,50.0,53.0,36.0,62.0,89.0,88.0,44.0,33.0,15.0,77.0,75.0,86.0,55.0,31.0,81.0,54.0,11.0,23.0,48.0,94.0,37.0,48.0,30.0,43.0,48.0,41.0
C13,48.0,36.0,45.0,37.0,61.0,101.0,81.0,33.0,84.0,80.0,36.0,10.0,87.0,0.0,92.0,34.0,41.0,53.0,46.0,31.0,37.0,inf,45.0,72.0,89.0,32.0,inf,21.0,98.0,110.0,75.0,88.0,42.0,55.0,30.0,42.0,51.0,41.0,15.0,23.0,13.0,38.0,25.0,48.0,76.0,81.0,105.0,68.0,85.0,44.0
C14,inf,93.0,59.0,inf,22.0,44.0,41.0,50.0,inf,14.0,62.0,30.0,70.0,84.0,0.0,59.0,52.0,50.0,80.0,46.0,inf,46.0,81.0,85.0,44.0,23.0,inf,inf,47.0,47.0,66.0,97.0,38.0,48.0,76.0,inf,100.0,19.0,36.0,40.0,31.0,97.0,inf,63.0,79.0,59.0,85.0,56.0,37.0,34.0
C15,82.0,29.0,25.0,62.0,43.0,45.0,94.0,94.0,41.0,77.0,71.0,76.0,27.0,22.0,57.0,0.0,88.0,22.0,45.0,56.0,50.0,65.0,65.0,71.0,42.0,50.0,70.0,80.0,59.0,71.0,51.0,25.0,inf,48.0,67.0,90.0,67.0,62.0,99.0,29.0,inf,59.0,75.0,71.0,11.0,68.0,48.0,inf,28.0,87.0
C16,36.0,98.0,93.0,18.0,26.0,47.0,46.0,11.0,inf,27.0,22.0,60.0,30.0,32.0,53.0,88.0,0.0,11.0,61.0,40.0,71.0,59.0,106.0,43.0,95.0,31.0,inf,65.0,57.0,36.0,14.0,inf,inf,33.0,93.0,74.0,92.0,41.0,30.0,94.0,103.0,80.0,64.0,35.0,93.0,37.0,66.0,18.0,65.0,61.0
C17,56.0,37.0,21.0,18.0,108.0,56.0,107.0,56.0,70.0,92.0,78.0,73.0,52.0,56.0,51.0,31.0,8.0,0.0,25.0,43.0,44.0,62.0,62.0,44.0,64.0,24.0,67.0,71.0,36.0,82.0,84.0,42.0,20.0,97.0,62.0,95.0,70.0,81.0,69.0,30.0,72.0,66.0,11.0,51.0,49.0,90.0,83.0,51.0,37.0,53.0
C18,33.0,85.0,inf,66.0,88.0,87.0,36.0,61.0,inf,82.0,13.0,101.0,68.0,41.0,67.0,40.0,91.0,22.0,0.0,14.0,97.0,86.0,83.0,21.0,89.0,112.0,69.0,41.0,17.0,83.0,42.0,56.0,85.0,105.0,47.0,40.0,47.0,57.0,83.0,82.0,25.0,75.0,21.0,105.0,76.0,110.0,39.0,29.0,33.0,26.0
C19,89.0,33.0,39.0,68.0,91.0,56.0,48.0,27.0,inf,72.0,73.0,17.0,39.0,65.0,38.0,53.0,41.0,32.0,26.0,0.0,62.0,44.0,98.0,94.0,47.0,99.0,64.0,14.0,53.0,29.0,39.0,86.0,69.0,57.0,69.0,61.0,52.0,74.0,99.0,17.0,108.0,38.0,80.0,inf,105.0,38.0,61.0,43.0,89.0,41.0
C20,48.0,77.0,40.0,39.0,89.0,inf,89.0,84.0,105.0,95.0,74.0,74.0,16.0,33.0,48.0,47.0,69.0,44.0,93.0,66.0,0.0,33.0,30.0,24.0,27.0,98.0,19.0,52.0,30.0,23.0,90.0,68.0,47.0,52.0,30.0,inf,16.0,95.0,44.0,54.0,105.0,36.0,40.0,74.0,87.0,28.0,48.0,inf,67.0,19.0
C21,93.0,36.0,inf,33.0,51.0,41.0,58.0,106.0,39.0,76.0,42.0,96.0,53.0,56.0,37.0,78.0,66.0,65.0,94.0,77.0,33.0,0.0,30.0,49.0,63.0,38.0,57.0,81.0,61.0,14.0,89.0,78.0,41.0,88.0,34.0,48.0,88.0,87.0,84.0,96.0,45.0,71.0,40.0,86.0,48.0,28.0,51.0,inf,79.0,59.0
C22,70.0,43.0,74.0,80.0,81.0,68.0,92.0,58.0,36.0,60.0,30.0,35.0,81.0,87.0,79.0,70.0,92.0,69.0,96.0,89.0,33.0,78.0,0.0,71.0,93.0,66.0,75.0,46.0,27.0,31.0,87.0,36.0,inf,35.0,66.0,74.0,77.0,92.0,69.0,inf,84.0,119.0,50.0,19.0,28.0,52.0,inf,98.0,42.0,57.0
C23,77.0,54.0,86.0,87.0,89.0,56.0,14.0,inf,45.0,92.0,87.0,84.0,113.0,83.0,86.0,69.0,inf,48.0,20.0,94.0,29.0,51.0,66.0,0.0,inf,95.0,26.0,81.0,34.0,78.0,84.0,84.0,9.0,69.0,51.0,75.0,69.0,50.0,inf,70.0,19.0,98.0,56.0,72.0,50.0,inf,10.0,29.0,22.0,95.0
C24,37.0,66.0,18.0,92.0,45.0,39.0,50.0,100.0,20.0,53.0,44.0,65.0,57.0,92.0,30.0,31.0,95.0,59.0,91.0,60.0,inf,60.0,97.0,88.0,0.0,inf,36.0,57.0,111.0,45.0,37.0,54.0,inf,123.0,67.0,inf,28.0,104.0,64.0,64.0,25.0,inf,79.0,99.0,30.0,92.0,22.0,45.0,32.0,87.0
C25,21.0,93.0,64.0,57.0,30.0,54.0,69.0,44.0,19.0,66.0,82.0,38.0,48.0,30.0,24.0,inf,77.0,91.0,98.0,100.0,99.0,45.0,52.0,15.0,30.0,0.0,76.0,64.0,85.0,54.0,86.0,89.0,46.0,inf,88.0,78.0,73.0,104.0,93.0,98.0,78.0,65.0,103.0,80.0,41.0,76.0,60.0,79.0,inf,52.0
C26,inf,inf,86.0,inf,65.0,34.0,62.0,96.0,44.0,55.0,48.0,31.0,inf,inf,inf,78.0,33.0,69.0,75.0,71.0,26.0,56.0,65.0,inf,72.0,inf,0.0,99.0,63.0,97.0,106.0,52.0,57.0,111.0,95.0,52.0,46.0,28.0,12.0,97.0,99.0,94.0,92.0,86.0,56.0,63.0,60.0,79.0,62.0,38.0
C27,97.0,22.0,27.0,46.0,25.0,inf,83.0,41.0,54.0,26.0,39.0,36.0,49.0,20.0,55.0,80.0,59.0,69.0,39.0,74.0,15.0,86.0,55.0,94.0,65.0,67.0,99.0,0.0,59.0,93.0,92.0,45.0,75.0,20.0,inf,65.0,13.0,8.0,69.0,109.0,78.0,63.0,65.0,75.0,46.0,92.0,77.0,56.0,48.0,inf
C28,inf,45.0,55.0,10.0,52.0,99.0,inf,9.0,70.0,48.0,86.0,51.0,82.0,inf,72.0,67.0,54.0,34.0,inf,60.0,20.0,59.0,26.0,30.0,111.0,88.0,59.0,73.0,0.0,22.0,10.0,inf,24.0,37.0,77.0,inf,69.0,89.0,inf,52.0,74.0,82.0,54.0,97.0,47.0,30.0,10.0,44.0,118.0,96.0
C29,22.0,42.0,35.0,49.0,38.0,34.0,75.0,42.0,90.0,56.0,88.0,32.0,87.0,99.0,51.0,57.0,25.0,94.0,72.0,inf,23.0,11.0,37.0,71.0,45.0,44.0,61.0,101.0,28.0,0.0,71.0,inf,17.0,42.0,13.0,87.0,12.0,70.0,103.0,31.0,93.0,82.0,inf,59.0,88.0,88.0,72.0,60.0,14.0,inf
C30,81.0,52.0,24.0,90.0,25.0,36.0,20.0,49.0,50.0,89.0,73.0,100.0,15.0,62.0,68.0,38.0,14.0,87.0,41.0,48.0,88.0,93.0,100.0,74.0,inf,73.0,92.0,83.0,7.0,90.0,0.0,45.0,42.0,25.0,49.0,25.0,62.0,69.0,25.0,25.0,inf,44.0,93.0,28.0,84.0,inf,19.0,27.0,60.0,47.0
C31,69.0,50.0,62.0,33.0,inf,30.0,61.0,42.0,40.0,64.0,50.0,85.0,27.0,78.0,90.0,inf,inf,42.0,59.0,64.0,33.0,80.0,34.0,78.0,58.0,101.0,38.0,36.0,25.0,83.0,44.0,0.0,inf,42.0,54.0,72.0,23.0,45.0,111.0,63.0,43.0,92.0,80.0,inf,46.0,76.0,22.0,98.0,55.0,inf
C32,35.0,inf,29.0,75.0,99.0,56.0,13.0,inf,88.0,30.0,56.0,99.0,10.0,inf,45.0,67.0,87.0,14.0,30.0,62.0,inf,35.0,73.0,12.0,inf,inf,62.0,68.0,23.0,31.0,33.0,93.0,0.0,47.0,13.0,33.0,22.0,96.0,17.0,62.0,63.0,36.0,18.0,109.0,91.0,95.0,67.0,51.0,70.0,42.0
C33,64.0,37.0,28.0,96.0,11.0,32.0,6.0,33.0,80.0,76.0,59.0,93.0,66.0,41.0,51.0,13.0,inf,101.0,inf,49.0,47.0,92.0,31.0,72.0,111.0,inf,98.0,19.0,32.0,84.0,27.0,53.0,52.0,0.0,36.0,50.0,74.0,73.0,41.0,28.0,50.0,15.0,89.0,113.0,84.0,46.0,35.0,96.0,60.0,92.0
C34,96.0,inf,23.0,31.0,90.0,82.0,93.0,61.0,24.0,40.0,inf,25.0,69.0,17.0,inf,69.0,94.0,51.0,45.0,inf,23.0,21.0,62.0,54.0,71.0,91.0,107.0,71.0,72.0,70.0,84.0,59.0,85.0,35.0,0.0,inf,96.0,46.0,36.0,29.0,92.0,82.0,53.0,95.0,inf,27.0,70.0,102.0,15.0,37.0
